Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M03;2.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M02;2.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2021M01;2.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M12;2.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M11;1.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M10;3.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M09;4.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M08;11.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M07;10.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M06;..
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M05;..
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M04;1.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M03;6.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M02;11.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2020M01;10.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M12;9.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M11;8.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M10;16.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M09;22.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M08;39.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M07;34.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M06;21.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M05;14.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M04;13.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M03;9.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M02;9.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2019M01;9.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M12;8.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M11;7.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M10;15.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M09;21.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M08;35.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M07;32.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M06;18.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M05;13.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M04;10.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M03;8.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M02;7.000
Number of nights;National Total;14 Murcia, Región de;Residents abroad;2018M01;7.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M09;""
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M08;""
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M07;""
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M06;16.579
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M05;19.071
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M04;15.599
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M03;14.237
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M02;8.219
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2024M01;6.497
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M12;12.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M11;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M10;16.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M09;17.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M08;28.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M07;25.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M06;13.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M05;13.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M04;16.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M03;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M02;7.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2023M01;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M12;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M11;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M10;13.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M09;14.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M08;23.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M07;20.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M06;11.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M05;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M04;12.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M03;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M02;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2022M01;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M12;7.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M11;7.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M10;11.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M09;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M08;18.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M07;13.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M06;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M05;4.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M04;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M03;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M02;2.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2021M01;2.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M12;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M11;2.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M10;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M09;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M08;13.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M07;9.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M06;2.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M05;..
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M04;..
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M03;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M02;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2020M01;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M12;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M11;7.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M10;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M09;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M08;19.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M07;16.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M06;9.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M05;9.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M04;9.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M03;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M02;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2019M01;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M12;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M11;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M10;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M09;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M08;15.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M07;13.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M06;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M05;7.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M04;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M03;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M02;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Total;2018M01;3.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M09;""
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M08;""
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M07;""
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M06;10.622
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M05;10.580
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M04;8.583
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M03;11.675
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M02;6.185
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2024M01;4.733
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M12;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M11;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M10;11.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M09;10.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M08;19.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M07;15.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M06;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M05;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M04;11.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M03;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M02;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2023M01;4.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M12;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M11;6.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M10;9.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M09;9.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M08;15.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M07;12.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M06;7.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M05;5.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M04;8.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M03;4.000
Number of nights;National Total;15 Navarra, Comunidad Foral de;Residents in Spain;2022M02;4.000
