Touristic concept;National Total;Autonomous Communities and Cities;Traveller's residence;Periodo;Total
Number of stays;National Total;01 Andalucía;Residents abroad;2021M06;34.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M05;23.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M04;11.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M03;7.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M02;3.000
Number of stays;National Total;01 Andalucía;Residents abroad;2021M01;5.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M12;6.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M11;4.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M10;15.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M09;15.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M08;32.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M07;28.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M06;4.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M05;2.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M04;2.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M03;31.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M02;71.000
Number of stays;National Total;01 Andalucía;Residents abroad;2020M01;64.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M12;66.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M11;67.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M10;124.000
Number of stays;National Total;01 Andalucía;Residents abroad;2019M09;132.000
